
GammaVision FWHM (keV) Table

 Energy(keV)        FWHM   FWHM(Fit)       Delta
 -----------        ----   ---------       -----
       53.16      0.7111      0.7209    -1.3760%
       81.00      0.7263      0.7513    -3.4474%
      121.78      0.7895      0.7955    -0.7611%
      160.61      0.8364      0.8370    -0.0664%
      223.23      0.9081      0.9028     0.5786%
      244.70      0.9307      0.9251     0.6103%
      276.40      0.9644      0.9577     0.6964%
      302.85      0.9932      0.9847     0.8539%
      344.28      1.0320      1.0265     0.5282%
      356.01      1.0486      1.0383     0.9894%
      383.85      1.0729      1.0659     0.6536%
      411.11      1.0966      1.0928     0.3526%
      443.98      1.1398      1.1248     1.3214%
      688.68      1.3570      1.3516     0.3974%
      778.90      1.4266      1.4301    -0.2431%
      867.38      1.5133      1.5045     0.5835%
      964.08      1.5807      1.5827    -0.1240%
      964.13      1.6026      1.5821     1.2764%
     1112.07      1.6952      1.6965    -0.0744%
     1212.95      1.7916      1.7697     1.2233%
     1299.14      1.8665      1.8296     1.9740%
     1408.01      1.9117      1.9018     0.5185%
