
GammaVision Energy Table

 Energy(keV)     Channel    Fit(keV)       Delta
 -----------     -------    --------       -----
       53.16      390.90       53.18    -0.0269%
       81.00      595.44       80.96     0.0445%
      121.78      896.10      121.80    -0.0165%
      160.61     1181.74      160.60     0.0075%
      223.23     1642.32      223.16     0.0326%
      244.70     1800.23      244.61     0.0362%
      276.40     2033.63      276.31     0.0322%
      302.85     2228.61      302.79     0.0206%
      344.28     2534.13      344.28    -0.0011%
      356.01     2620.69      356.04    -0.0075%
      383.85     2825.95      383.92    -0.0173%
      411.11     3027.01      411.22    -0.0261%
      443.98     3269.13      444.10    -0.0285%
      688.68     5071.95      688.90    -0.0326%
      778.90     5736.41      779.12    -0.0274%
      867.38     6387.92      867.57    -0.0216%
      964.08     7100.12      964.25    -0.0174%
      964.13     7094.44      963.48     0.0679%
     1085.91     7991.02     1085.18     0.0680%
     1112.07     8190.67     1112.27    -0.0185%
     1212.95     8933.61     1213.11    -0.0131%
     1299.14     9568.47     1299.27    -0.0099%
     1408.01    10370.52     1408.11    -0.0073%
