        Constituents (Atomic Number:Fraction by Weight)
           1:0.05549   6:0.75575   8:0.18876
 
        Partial Interaction Coefficients and Total Attenuation Coefficients
 
        PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
        ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                                  ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                              FIELD    FIELD    SCATT.   SCATT.
         (MeV)    (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)
 
        1.000E-03 1.12E+00 1.39E-02 2.54E+03 0.00E+00 0.00E+00 2.54E+03 2.54E+03
        1.500E-03 1.00E+00 2.78E-02 8.21E+02 0.00E+00 0.00E+00 8.22E+02 8.21E+02
        2.000E-03 8.81E-01 4.28E-02 3.59E+02 0.00E+00 0.00E+00 3.60E+02 3.59E+02
        3.000E-03 6.61E-01 7.07E-02 1.09E+02 0.00E+00 0.00E+00 1.09E+02 1.09E+02
        4.000E-03 5.02E-01 9.27E-02 4.56E+01 0.00E+00 0.00E+00 4.62E+01 4.57E+01
        5.000E-03 3.93E-01 1.09E-01 2.30E+01 0.00E+00 0.00E+00 2.35E+01 2.31E+01
        6.000E-03 3.18E-01 1.21E-01 1.31E+01 0.00E+00 0.00E+00 1.35E+01 1.32E+01
        8.000E-03 2.26E-01 1.36E-01 5.31E+00 0.00E+00 0.00E+00 5.68E+00 5.45E+00
        1.000E-02 1.72E-01 1.46E-01 2.62E+00 0.00E+00 0.00E+00 2.94E+00 2.77E+00
        1.500E-02 1.03E-01 1.62E-01 7.13E-01 0.00E+00 0.00E+00 9.78E-01 8.75E-01
        2.000E-02 6.80E-02 1.70E-01 2.80E-01 0.00E+00 0.00E+00 5.18E-01 4.50E-01
        3.000E-02 3.55E-02 1.75E-01 7.41E-02 0.00E+00 0.00E+00 2.85E-01 2.49E-01
        4.000E-02 2.16E-02 1.75E-01 2.86E-02 0.00E+00 0.00E+00 2.25E-01 2.03E-01
        5.000E-02 1.45E-02 1.72E-01 1.37E-02 0.00E+00 0.00E+00 2.00E-01 1.86E-01
        6.000E-02 1.04E-02 1.69E-01 7.46E-03 0.00E+00 0.00E+00 1.87E-01 1.76E-01
        8.000E-02 6.06E-03 1.62E-01 2.87E-03 0.00E+00 0.00E+00 1.71E-01 1.64E-01
        1.000E-01 3.96E-03 1.55E-01 1.37E-03 0.00E+00 0.00E+00 1.60E-01 1.56E-01
        1.500E-01 1.80E-03 1.40E-01 3.60E-04 0.00E+00 0.00E+00 1.42E-01 1.40E-01
        2.000E-01 1.02E-03 1.29E-01 1.42E-04 0.00E+00 0.00E+00 1.30E-01 1.29E-01
        3.000E-01 4.55E-04 1.12E-01 3.99E-05 0.00E+00 0.00E+00 1.13E-01 1.12E-01
        4.000E-01 2.57E-04 1.00E-01 1.70E-05 0.00E+00 0.00E+00 1.01E-01 1.00E-01
        5.000E-01 1.64E-04 9.18E-02 9.17E-06 0.00E+00 0.00E+00 9.19E-02 9.18E-02
        6.000E-01 1.14E-04 8.49E-02 5.71E-06 0.00E+00 0.00E+00 8.50E-02 8.49E-02
        8.000E-01 6.43E-05 7.46E-02 2.88E-06 0.00E+00 0.00E+00 7.46E-02 7.46E-02
        1.000E+00 4.12E-05 6.71E-02 1.79E-06 0.00E+00 0.00E+00 6.71E-02 6.71E-02
        1.022E+00 3.94E-05 6.64E-02 1.66E-06 0.00E+00 0.00E+00 6.64E-02 6.64E-02
        1.250E+00 2.63E-05 6.00E-02 1.13E-06 1.48E-05 0.00E+00 6.00E-02 6.00E-02
        1.500E+00 1.83E-05 5.45E-02 8.17E-07 8.21E-05 0.00E+00 5.46E-02 5.46E-02
        2.000E+00 1.03E-05 4.65E-02 5.15E-07 3.27E-04 0.00E+00 4.69E-02 4.68E-02
        2.044E+00 9.85E-06 4.59E-02 4.98E-07 3.53E-04 0.00E+00 4.63E-02 4.63E-02
        3.000E+00 4.57E-06 3.66E-02 2.88E-07 9.37E-04 1.28E-05 3.76E-02 3.75E-02
        4.000E+00 2.57E-06 3.05E-02 1.98E-07 1.52E-03 5.23E-05 3.21E-02 3.21E-02
        5.000E+00 1.65E-06 2.64E-02 1.51E-07 2.04E-03 1.04E-04 2.85E-02 2.85E-02
        6.000E+00 1.14E-06 2.33E-02 1.21E-07 2.51E-03 1.60E-04 2.60E-02 2.60E-02
        7.000E+00 8.40E-07 2.09E-02 1.01E-07 2.92E-03 2.16E-04 2.41E-02 2.41E-02
        8.000E+00 6.43E-07 1.91E-02 8.69E-08 3.30E-03 2.70E-04 2.26E-02 2.26E-02
        9.000E+00 5.08E-07 1.75E-02 7.61E-08 3.64E-03 3.22E-04 2.15E-02 2.15E-02
        1.000E+01 4.12E-07 1.62E-02 6.77E-08 3.95E-03 3.71E-04 2.06E-02 2.06E-02
        1.100E+01 3.40E-07 1.51E-02 6.09E-08 4.23E-03 4.18E-04 1.98E-02 1.98E-02
        1.200E+01 2.86E-07 1.42E-02 5.54E-08 4.49E-03 4.63E-04 1.92E-02 1.92E-02
        1.300E+01 2.44E-07 1.34E-02 5.08E-08 4.73E-03 5.05E-04 1.86E-02 1.86E-02
        1.400E+01 2.10E-07 1.27E-02 4.69E-08 4.96E-03 5.45E-04 1.82E-02 1.82E-02
